team,tournament,round,side,opponent,judge,roundReport
Cornell LiLi (Terra Li - Davis Liang),00—Big Red Invitational,Finals,Aff,GOVT 1817 Prelim,Armands Revelins,1AC check team notes because if something goes wrong during a tournament (e.g. wifi out) that will be updated first as it is the most convenient for us 2NR checking the team notes
Cornell LiLi (Terra Li - Davis Liang),00—Small Blue Invitational,Finals,Neg,Fake Ivy Allegations,All Info is in the Team Notes,1AC Making sense of team notes 2NR utilizing team notes
Cornell LiLi (Terra Li - Davis Liang),01—West Point,Round 1,Aff,Rochester JS,Young Kwon,1AC NEW Jianghu 2NR Afropessimism K
Cornell LiLi (Terra Li - Davis Liang),01—West Point,Round 2,Neg,Suffolk AA,Jesse Smith,1AC Planned Failure 2NR Framework
Cornell LiLi (Terra Li - Davis Liang),01—West Point,Round 3,Aff,Liberty EY,Joe Schatz,1AC Jianghu 2NR State Good Ballot PIK
Cornell LiLi (Terra Li - Davis Liang),01—West Point,Round 4,Neg,Rochester BM,Ben Biggs,1AC Disabled Workers 2NR Juries CP
Cornell LiLi (Terra Li - Davis Liang),01—West Point,Round 5,Aff,George Mason AP,Sonya Zin,1AC Jianghu 2NR Framework
Cornell LiLi (Terra Li - Davis Liang),01—West Point,Round 6,Neg,George Mason HR,Frank Irizarry,1AC Secondary Strikes 2NR T-CBR
Cornell LiLi (Terra Li - Davis Liang),01—West Point,Finals,Neg,Liberty EY,Panel,1AC Dying Better 2NR Imaginary Party K
Cornell LiLi (Terra Li - Davis Liang),01—West Point,Semis,Aff,Rochester BM,Panel,1AC Jianghu 2NR Black Feminism K
Cornell MaTr (Sean Marcy - Alana Trevino),Binghamton 8th Annual Phyllis Schatz Invitational,Round 1,Aff,GeoMas OC,Liam Nyberg,"1AC: Sectoral Bargaining 1NC: Movements DA, Midterms DA, Cap K 2NC: Cap K"
Cornell MaTr (Sean Marcy - Alana Trevino),Binghamton 8th Annual Phyllis Schatz Invitational,Round 2,Neg,Bing TP,V Keenan,"1AC: C*** Time 1NC: Topicality, simulation good, labor good 2NR: Topicality, simulation good"
